id,subquestion,code,position,status,lastmodifiedby,lastmodifieddatetime,domain,question_id
10000,Sales & Marketing,Sub1,1,Active,echasin,2016-07-17 00:00:00,CYBER,10000
10001,Product Development,Sub2,5,Active,echasin,2016-07-17 00:00:00,CYBER,10000
10002,"Management, HR & Finance",Sub1,4,Active,echasin,2016-07-17 00:00:00,CYBER,10000
10003,Quality & Product/Service Delivery,Sub2,3,Active,echasin,2016-07-17 00:00:00,CYBER,10000
10004,Accounting & Technology,Sub2,2,Active,echasin,2016-07-17 00:00:00,CYBER,10000
